Month,Status_Category,Count
2018-12-01,Blank,4
2018-12-01,Text,2
2019-01-01,Blank,15
2019-01-01,Text,71
2019-02-01,Blank,10
2019-02-01,Text,66
2019-03-01,Blank,7
2019-03-01,Text,105
2019-04-01,Blank,10
2019-04-01,Text,103
2019-05-01,Blank,10
2019-05-01,Text,53
2019-06-01,Blank,17
2019-06-01,Text,42
2019-07-01,Blank,30
2019-07-01,Text,56
2019-08-01,Blank,26
2019-08-01,Text,81
2019-09-01,Blank,12
2019-09-01,Text,54
2019-10-01,Blank,15
2019-10-01,Text,64
2019-11-01,Blank,16
2019-11-01,Text,27
2019-12-01,Blank,14
2019-12-01,Text,19
2020-01-01,Blank,11
2020-01-01,Text,60
2020-02-01,Blank,7
2020-02-01,Text,41
2020-03-01,Blank,4
2020-03-01,Text,38
2020-04-01,Blank,2
2020-04-01,Text,74
2020-05-01,Blank,4
2020-05-01,Text,132
2020-06-01,Blank,7
2020-06-01,Text,253
2020-07-01,Blank,13
2020-07-01,Text,179
2020-08-01,Blank,21
2020-08-01,Text,123
2020-09-01,Blank,7
2020-09-01,Text,85
2020-10-01,Blank,10
2020-10-01,Text,70
2020-11-01,Blank,15
2020-11-01,Text,71
2020-12-01,Blank,4
2020-12-01,Text,46
2021-01-01,Blank,7
2021-01-01,Text,48
2021-02-01,Blank,10
2021-02-01,Text,54
2021-03-01,Blank,2
2021-03-01,Text,77
2021-04-01,Blank,2
2021-04-01,Text,87
2021-05-01,Blank,14
2021-05-01,Text,141
2021-06-01,Blank,10
2021-06-01,Text,179
2021-07-01,Blank,15
2021-07-01,Text,115
2021-08-01,Blank,19
2021-08-01,Text,80
2021-09-01,Blank,11
2021-09-01,Text,75
2021-10-01,Blank,14
2021-10-01,Text,53
2021-11-01,Blank,9
2021-11-01,Text,41
2021-12-01,Blank,6
2021-12-01,Text,30
2022-01-01,Blank,9
2022-01-01,Text,46
2022-02-01,Blank,9
2022-02-01,Text,31
2022-03-01,Blank,11
2022-03-01,Text,54
2022-04-01,Blank,8
2022-04-01,Text,83
2022-05-01,Blank,7
2022-05-01,Text,119
2022-06-01,Blank,6
2022-06-01,Text,110
2022-07-01,Blank,37
2022-07-01,Text,92
2022-08-01,Blank,28
2022-08-01,Text,85
2022-09-01,Blank,29
2022-09-01,Text,84
2022-10-01,Blank,8
2022-10-01,Text,45
2022-11-01,Blank,12
2022-11-01,Text,41
2022-12-01,Blank,16
2022-12-01,Text,31
2023-01-01,Blank,12
2023-01-01,Text,31
2023-02-01,Blank,8
2023-02-01,Text,39
2023-03-01,Blank,5
2023-03-01,Text,38
2023-04-01,Blank,5
2023-04-01,Text,35
2023-05-01,Blank,11
2023-05-01,Text,81
2023-06-01,Blank,21
2023-06-01,Text,109
2023-07-01,Blank,41
2023-07-01,Text,88
2023-08-01,Blank,56
2023-08-01,Text,79
2023-09-01,Blank,26
2023-09-01,Text,60
2023-10-01,Blank,38
2023-10-01,Text,47
2023-11-01,Blank,22
2023-11-01,Text,30
2023-12-01,Blank,24
2023-12-01,Text,50
2024-01-01,Blank,30
2024-01-01,Text,31
2024-02-01,Blank,8
2024-02-01,Text,42
2024-03-01,Blank,15
2024-03-01,Text,50
2024-04-01,Blank,19
2024-04-01,Text,56
2024-05-01,Blank,8
2024-05-01,Text,75
2024-06-01,Blank,20
2024-06-01,Text,97
2024-07-01,Blank,20
2024-07-01,Text,107
2024-08-01,Blank,17
2024-08-01,Text,119
2024-09-01,Blank,14
2024-09-01,Text,91
2024-10-01,Blank,8
2024-10-01,Text,87
2024-11-01,Blank,6
2024-11-01,Text,27
2024-12-01,Blank,5
2024-12-01,Text,41
